code_m,name_m,code_s,name_s,code_ss,name_ss
,,50000404,네일영양제,,
,,50000405,네일리무버,,
,,50000406,네일케어도구,,
,,50005092,손발톱정리기,,
,,50000407,네일케어세트,,
50000200,향수,50000312,여성향수,,
,,50000313,남성향수,,
,,50000314,남녀공용향수,,
,,50000315,향수세트,,
50000197,바디케어,50000408,바디로션,,
,,50000281,바디크림,,
,,50000282,바디오일,,
,,50000283,바디미스트,,
,,50000284,바디파우더,,
,,50000285,바디클렌저,,
,,50000286,바디스크럽,,
,,50000287,여성청결제,,
,,50000288,목욕비누,,
,,50000289,핸드케어,,
,,50000290,풋케어,,
,,50005093,파라핀용품,,
,,50000291,입욕제,,
,,50000292,아로마테라피,,
,,50000293,데오드란트,,
,,50000294,제모제,,
,,50005094,제모기,,
,,50000295,바디슬리밍,,
,,50000296,바디케어세트,,
,,50005287,샤워코롱,,
50000198,헤어케어,50000297,샴푸,,
,,50000298,린스,,
,,50000299,트리트먼트,,
,,50000300,헤어에센스,,
,,50000301,헤어팩,,
,,50000302,헤어미스트,,
,,50000303,두피케어,,
,,50005095,두피케어기기,,
,,50000304,탈모케어,,
,,50000305,헤어케어세트,,
50000199,헤어스타일링,50000306,헤어왁스,,
,,50000307,헤어스프레이,,
,,50000308,헤어무스,,
,,50000309,헤어젤,,
,,50000310,헤어글레이즈,,
,,50000311,염색약,,
,,50001372,파마약,50004378,스트레이트
,,,,50004585,웨이브
50000202,남성화장품,50000321,스킨,,
,,50000322,로션,,
,,50000323,에센스,,
,,50000324,크림,,
,,50000325,아이케어,,
,,50000326,올인원,,
,,50000327,선크림,,
,,50000328,클렌징,,
,,50000329,스크럽/필링,,
,,50000330,마스크/팩,,
,,50000331,메이크업,,
,,50000332,쉐이빙폼,,
,,50000333,남성청결제,,
,,50000334,남성화장품세트,,
50000204,휴대폰,50000246,SKT,,
,,50000247,KT,,
,,50000248,LG U+,,
,,50000249,공기계/중고폰,,
,,50001519,자급제폰,,
,,50000250,해외출시폰,,
,,50000251,MVNO,,
,,50001520,선불폰,,
50000205,휴대폰 액세서리,50001377,휴대폰 케이스,50004590,가죽케이스
,,,,50004591,실리콘케이스
,,,,50004592,플라스틱케이스
,,,,50004593,메탈케이스
,,,,50006839,암밴드
,,,,50004594,기타케이스
,,50001378,휴대폰 보호필름,50004595,액정보호필름
,,,,50004596,전신보호필름
,,,,50004597,휴대폰스킨
,,,,50004598,홈버튼스티커
,,,,50004599,액정코팅제
,,50001379,휴대폰 충전기,50004600,충전기
,,,,50004601,크래들
,,50001380,휴대폰 배터리,50004602,전용배터리
,,,,50004603,보조배터리
,,50000252,휴대폰 케이블,,
,,50000253,휴대폰 젠더,,
,,50000254,휴대폰 렌즈,,
,,50000255,휴대폰 거치대,,
,,50006369,짐벌,,
,,50006370,셀카봉,,
,,50000256,휴대폰 줄,,
,,50000257,휴대폰 이어캡,,
,,50000259,핸드셋,,
,,50000261,휴대폰 DMB 수신기,,
,,50000262,웨어러블 디바이스,,
,,50006371,웨어러블 디바이스 액세서리,,
,,50000263,휴대폰 쿨링패드,,
,,50000264,기타 휴대폰 액세서리,,
,,50005107,휴대폰 메모리,,
,,50005108,메모리 리더기,,
50000206,카메라/캠코더용품,50000265,DSLR카메라,,
,,50000266,미러리스디카,,
,,50000267,일반디카,,
,,50000268,캠코더,,
,,50001381,카메라렌즈,50004604,표준렌즈
,,,,50004605,광각렌즈
,,,,50004606,망원렌즈
,,,,50004607,어안렌즈
,,,,50004608,컨버젼렌즈
,,50001382,렌즈용품,50004609,렌즈필터
,,,,50004610,렌즈어댑터
,,,,50004611,렌즈캡
,,,,50004612,렌즈후드
,,,,50004613,텔레컨버터
,,,,50004614,렌즈/필터케이스
,,,,50004615,핀홀/기타렌즈용품
,,50001383,즉석카메라,50004616,즉석카메라
,,,,50004617,즉석필름
,,,,50004618,즉석카메라액세서리
,,,,50005111,폴라로이드앨범
,,,,50005112,데코펜
,,,,50005113,데코스티커
,,50001384,필름카메라,50004619,SLR카메라
,,,,50004620,자동카메라
,,,,50004621,로모카메라
,,,,50004622,토이카메라
,,,,50004623,일회용카메라
,,50001385,메모리카드,50004624,MicroSD메모리
,,,,50004625,SD메모리
,,,,50004626,CF메모리
,,,,50004627,메모리스틱
,,,,50004628,XQD메모리
,,,,50004629,기타메모리
,,50001386,카드리더기,50004630,멀티리더기
,,,,50004631,전용리더기
,,,,50004632,메모리어댑터
,,50001387,카메라가방/케이스,50004633,전용케이스
,,,,50004634,일반형가방
,,,,50004635,배낭형케이스
,,,,50004636,방수케이스
,,,,50004637,기타카메라가방/케이스
,,,,50004638,가방용품
,,50001388,카메라스트랩/그립,50004639,넥스트랩
,,,,50004640,핸드그립
,,,,50002073,핸드스트랩
,,50001389,삼각대/헤드,50002074,삼각대
,,,,50002075,모노포드
,,,,50002076,헤드
,,,,50002077,플레이트/퀵슈
,,,,50002078,삼각대가방/스트랩
,,,,50002079,삼각대액세서리
,,50001390,플래시/조명용품,50002080,플래시
,,,,50002081,라이트
,,,,50002082,조명/노출용품
,,50001391,충전기/배터리,50002083,전용정품충전기
,,,,50002084,전용호환충전기
,,,,50002085,전용정품배터리
,,,,50002086,전용호환배터리
,,,,50002087,배터리그립
,,,,50002088,범용충전기
,,,,50002089,범용충전지
,,,,50005114,일회용건전지
,,50001392,LCD용품/보호필름,50002090,LCD보호필름
,,,,50002091,LCD보호커버
,,,,50002092,LCD후드
,,,,50002093,외부보호필름/스티커
,,50001393,필름/관련용품,50002094,35mm필름
,,,,50002095,중형필름
,,,,50004617,즉석필름
,,,,50002096,암실/현상용품
,,,,50002097,기타필름/관련용품
,,50001394,카메라/캠코더 관련용품,50002098,리모컨/릴리즈
,,,,50002099,수평계
,,,,50002100,촬영보조용품
,,,,50002101,GPS/무선송수신
,,,,50002102,카메라/캠코더용마이크
,,,,50002103,아이피스
,,,,50002104,파인더
,,,,50002105,포커싱스크린
,,,,50002106,핫슈커버
,,,,50002107,라이트박스
,,,,50002108,루페
,,,,50002109,소프트버튼
,,,,50002110,카메라제습용품
,,,,50002111,카메라보관함
,,,,50002112,청소용품
,,,,50002113,기타카메라/캠코더용품
,,50007073,액션캠,,
50000207,광학기기/용품,50002009,망원경,,
,,50002010,쌍안경,,
,,50002011,천체망원경,,
,,50002012,현미경,,
,,50002013,광학용품액세서리,,
50000208,영상가전,50001395,TV,50002114,LEDTV
,,,,50002115,OLEDTV
,,,,50007188,QLEDTV
,,,,50002116,LCDTV
,,,,50002117,PDPTV
,,,,50002118,브라운관TV
,,50001396,영상가전액세서리,50002119,3D입체안경
,,,,50002120,AV분배기
,,,,50002121,AV선택기
,,,,50002122,AV셀렉터
,,,,50002123,AV젠더
,,,,50002124,AV케이블
,,,,50002125,리모컨
,,,,50002126,브라켓
,,,,50002127,방진용품
,,,,50002128,스탠드
,,,,50002129,안테나
,,,,50002130,TV셋톱박스
,,,,50002131,TV전용키보드
,,,,50002132,TV카메라
,,,,50005246,기타액세서리
,,50001397,프로젝터,50002133,DLP
,,,,50002134,LCD
,,,,50002135,LCoS/기타
,,50001398,프로젝터주변기기,50002136,프로젝터스크린
,,,,50002137,프로젝터램프
,,,,50002138,기타프로젝터주변기기
,,50001399,영상플레이어,50002139,퍼스널뷰어
,,,,50002140,블루레이플레이어
,,,,50002141,DVD플레이어
,,,,50002142,DVD레코더
,,,,50002143,DVD콤보
,,,,50002144,포터블DVD
,,50002014,디지털액자,,
,,50007071,사이니지 모니터,,
50000212,계절가전,50001429,전기장판/담요/방석,50002555,전기장판
,,,,50002556,전기담요
,,,,50002557,전기방석
,,50001428,전기매트,50002550,온수매트
,,,,50002551,황토매트
,,,,50002552,카페트매트
,,,,50002553,옥매트
,,,,50002554,기타전기매트
,,,,50005122,전기매트커버
,,50001852,전기히터,,
,,50001422,온풍기,50002528,전기온풍기
,,,,50002529,가스온풍기
,,,,50002530,석유온풍기
,,,,50002531,열풍기
,,,,50002532,돈풍기
,,50006835,컨벡터,,
,,50001853,라디에이터,,
,,50001851,냉온풍기,,
,,50001425,가습기,50002538,자연식가습기
,,,,50002539,가열식가습기
,,,,50002540,초음파식가습기
,,,,50002541,복합식가습기
,,,,50006848,USB가습기
,,,,50002542,가습기필터
,,,,50005121,가습기세정제
,,50001424,보일러,50002535,가스보일러
,,,,50002536,석유보일러
,,,,50002537,전기보일러
,,50001423,순간온수기,50002533,전기온수기
,,,,50002534,가스온수기
,,50001426,공기정화기,50002543,공기청정기
,,,,50006201,에어워셔
,,,,50002544,산림욕기
,,,,50002545,서큘레이터
,,,,50002546,환풍기
,,,,50002547,공기정화기필터
,,50001421,에어컨,50002521,스탠드형에어컨
,,,,50002522,벽걸이형에어컨
,,,,50002523,멀티형에어컨
,,,,50002524,창문형에어컨
,,,,50003207,천장형에어컨
,,,,50002525,업소형에어컨
,,,,50002526,시스템에어컨
,,,,50002527,이동식에어컨
,,,,50005119,에어컨세정제
,,,,50005120,에어컨커버
,,50006834,에어컨주변기기,50006836,에어컨 리모콘
,,,,50006837,에어컨 실외기
,,,,50006838,기타 액세서리
,,50001420,선풍기,50002513,스탠드형선풍기
,,,,50002514,벽걸이형선풍기
,,,,50002515,타워형선풍기
,,,,50002516,천장형선풍기
,,,,50002517,탁상형선풍기
,,,,50002518,휴대용선풍기
,,,,50002778,usb선풍기
,,,,50002519,업소용선풍기
,,,,50005117,차량용선풍기
,,,,50005118,선풍기커버
,,,,50007231,선풍기부속품
,,50001419,냉풍기,50002511,일반용냉풍기
,,,,50002512,업소용냉풍기
,,50001427,제습기,50002548,일반용제습기
,,,,50002549,업소용제습기
,,50001521,에어커튼,,
,,50006971,업소용냉온풍기,,
50000209,음향가전,50001400,홈시어터,50002145,단일형홈시어터
,,,,50002146,사운드바시스템
,,,,50002147,조합형홈시어터
,,50001401,오디오,50002317,휴대폰도킹스피커/오디오
,,,,50002318,일체형오디오
,,,,50002319,분리형오디오
,,,,50003154,오디오액세서리
,,50001963,데크,,
,,50001964,리시버/앰프,,
,,50001965,튜너,,
,,50001966,오디오믹서,,
,,50001967,턴테이블,,
,,50001968,방송음향기기,,
,,50001402,스피커,50002320,스피커단품
,,,,50002321,스피커세트
,,,,50007235,스피커액세서리
,,50001969,DAC,,
,,50001970,라디오,,
,,50001403,카세트플레이어,50002323,워크맨
,,,,50002324,일반카세트
,,,,50002325,CD카세트
,,,,50003155,카세트플레이어액세서리
,,50001971,CD플레이어,,
,,50001972,MD플레이어,,
,,50001404,마이크,50002326,일반마이크
,,,,50002327,무선마이크
,,,,50006972,전문가용마이크
,,,,50007217,확성기
,,,,50002328,마이크주변기기
,,50001973,노래반주기,,
,,50001974,MP3,,
,,50001975,PMP,,
,,50001405,MP3/PMP액세서리,50002329,배터리
,,,,50002330,보호필름
,,,,50002331,충전기
,,,,50002332,케이스
,,,,50002333,기타 MP3/PMP액세서리
,,50001406,블루투스셋,50002334,블루투스이어폰/이어셋
,,,,50002335,블루투스헤드폰/헤드셋
,,,,50002336,블루투스동글
,,50001976,이어폰,,
,,50001977,헤드폰,,
,,50001407,이어폰/헤드폰액세서리,50002337,케이스/파우치
,,,,50002338,캡/솜/팁
,,,,50002339,거치대
,,,,50002340,연장선/케이블
,,,,50002341,정리기
,,,,50002342,기타이어폰/헤드폰액세서리
50000210,생활가전,50001408,세탁기,50002343,일반세탁기
,,,,50002344,드럼세탁기
,,,,50002345,미니세탁기
,,,,50007508,세탁기부품
,,50001409,건조기/탈수기,50002346,의류건조기
,,,,50002347,신발건조기
,,,,50002348,탈수기
,,50007045,의류관리기,,
,,50001410,청소기,50002349,유선청소기
,,,,50002350,무선청소기
,,,,50006368,물걸레청소기
,,,,50002351,스팀청소기
,,,,50002352,로봇청소기
,,,,50002353,침구청소기
,,,,50007216,고압세척기
,,,,50002354,업소용청소기
,,,,50002355,청소기액세서리
,,50001411,다리미,50002356,스팀다리미
,,,,50002357,건식다리미
,,50001412,디지털도어록,50002358,보조키형
,,,,50002359,주키형
,,50001413,무전기,50002360,생활용무전기
,,,,50002361,업무용무전기
,,,,50002362,무전기액세서리
,,50001414,스탠드,50002363,LED스탠드
,,,,50002364,삼파장스탠드
,,,,50002365,오파장스탠드
,,,,50002366,일반스탠드
,,,,50002367,칠파장스탠드
,,50001978,재봉틀,,
,,50001415,전화기,50002368,유선전화기
,,,,50002369,무선전화기
,,,,50002370,유무선전화기
,,,,50003156,스마트홈폰/패드
,,,,50006963,사무용전화기
,,,,50007233,전화기주변기기
,,50001416,구강청정기,50002371,전동칫솔
,,,,50002372,전동칫솔모
,,,,50002373,구강세정기
,,,,50002374,칫솔살균기
,,50001979,보풀제거기,,
,,50001980,손소독기,,
,,50001981,자외선소독기,,
,,50001982,핸드드라이어,,
,,50001983,연수기,,
,,50001984,이온수기,,
,,50001985,해충퇴치기,,
,,50006964,업소용자외선소독기,,
,,50007070,전신건조기,,
50000211,이미용가전,50001417,면도기,50002375,남성용면도기
,,,,50002376,여성용면도기
,,50001418,면도기소모품,50002377,면도날/망
,,,,50002378,세정액
,,,,50002379,기타면도기소모품
,,50001986,드라이어,,
,,50001987,고데기,,
,,50001988,매직기,,
,,50001989,에어브러시,,
,,50001990,헤어롤/롤셋,,
,,50001991,코털제거기,,
,,50001992,눈썹정리기,,
,,50001993,손발톱정리기,,
,,50001994,두피케어기기,,
,,50001995,피부케어기기,,
,,50001996,제모기,,
,,50001997,이발기,,
,,50001864,기타 이미용가전,,
,,50001850,이미용가전 액세서리,,
50000214,자동차기기,50001188,블랙박스/액세서리,50002731,블랙박스
,,,,50002732,블랙박스 액세서리
,,50001189,내비게이션/액세서리,50002733,내비게이션
,,,,50002734,내비게이션 액세서리
,,,,50007237,HUD
,,50001190,하이패스/GPS,50002735,하이패스
,,,,50002736,차량용 GPS
,,,,50002737,하이패스 액세서리
,,50001191,전방/후방카메라,50002738,후방카메라
,,,,50002739,후방감지기
,,,,50002740,전방카메라
,,,,50002741,전방감지기
,,,,50002742,이동식카메라감지기
,,50001192,자동차TV/모니터,50002743,인대쉬형
,,,,50002744,거치형
,,,,50002745,천장형
